,Unnamed: 0,Institution,Title,Department,STEM,NON-STEM,Ethnea,Genni,AdjSalary,PostdocNum,Associate,Intern,Fellow,Clinical,Trainee,Researcher,Scholar,Senior,Faculty,Assistant,Teaching,NIH_grants,NIH_order,State
49,49,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
50,50,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
51,51,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
52,52,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
53,53,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
54,54,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
55,55,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
56,56,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
57,57,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
58,58,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
59,59,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
60,60,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
61,61,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
62,62,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
63,63,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
64,64,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
65,65,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
66,66,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
67,67,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
68,68,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
69,69,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
70,70,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
71,71,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
72,72,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
73,73,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
74,74,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
75,75,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
76,76,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
77,77,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
78,78,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
79,79,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
80,80,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
81,81,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
82,82,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
83,83,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
84,84,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
85,85,Boston University,Postdoctoral Associate,,,,False,False,47500,297,1,0,0,0,0,0,0,0,0,0,0,166528745,6,MA
