,Institution,Title,AdjSalary,PostdocNum,Senior,Fellow,Faculty,Scholar,Assistant,Clinical,Researcher,Teaching,Intern,Trainee,Associate,NIH_grants,NIH_order,NSF,NSF_order,State
51,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
52,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
53,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
54,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
55,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
56,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
57,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
58,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
59,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
60,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
61,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
62,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
63,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
64,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
65,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
66,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
67,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
68,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
69,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
70,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
71,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
72,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
73,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
74,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
75,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
76,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
77,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
78,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
79,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
80,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
81,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
82,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
83,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
84,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
85,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
86,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
87,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
88,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
89,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
90,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
91,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
92,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
93,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
94,Boston University,Postdoctoral Associate,47500,297,0,0,0,0,0,0,0,0,0,0,1,172328687,6,395921,19,MA
